"","p_distribution"
"1874",29.235
"1875",28.213
"1876",29.284
"1877",23.496
"1878",26.183
"1879",29.838
"1880",26.792
"1881",27.429
"1882",26.945
"1883",26.906
"1884",30.467
"1885",23.659
"1886",28.817
"1887",32.491
"1888",29.262
"1889",27.545
"1890",31.457
"1891",29.074
"1892",29.669
"1893",26.912
"1894",30.063
"1895",23.515
"1896",22.994
"1897",28.562
"1898",29.263
"1899",26.388
"1900",26.625
"1901",28.035
"1902",26.407
"1903",28.355
"1904",26.991
"1905",27.485
"1906",22.31
"1907",28.024
"1908",30.273
"1909",29.249
"1910",28.258
"1911",31.176
"1912",27.785
"1913",29.318
"1914",25.905
"1915",28.497
"1916",28.893
"1917",30.527
"1918",32.541
"1919",28.15
"1920",27.167
"1921",28.128
"1922",27.675
"1923",27.77
"1924",26.899
"1925",30.756
"1926",30.315
"1927",28.603
"1928",29.842
"1929",26.505
"1930",29.928
"1931",29.314
"1932",27.523
"1933",25.801
"1934",26.1
"1935",25.502
"1936",31.12
"1937",29.161
"1938",28.177
"1939",28.366
"1940",24.824
"1941",23.886
"1942",27.952
"1943",28.974
"1944",27.354
"1945",30.233
"1946",31.853
"1947",26.981
"1948",28.495
"1949",28.192
"1950",26.212
"1951",28.106
"1952",29.935
"1953",27.012
"1954",26.994
"1955",30.811
"1956",24.983
"1957",28.171
"1958",23.592
"1959",30.573
"1960",26.647
"1961",29.134
"1962",28.843
"1963",27.731
"1964",24.877
"1965",23.73
"1966",29.889
"1967",29.876
"1968",28.33
"1969",26.41
"1970",29.633
"1971",27.647
"1972",29.843
"1973",24.032
"1974",26.359
"1975",30.546
"1976",27.677
"1977",27.052
"1978",29.747
"1979",33.119
"1980",25.912
"1981",28.476
"1982",30.042
"1983",27.108
"1984",27.364
"1985",24.873
"1986",23.551
"1987",28.789
"1988",24.414
"1989",25.961
"1990",29.672
"1991",24.087
"1992",29.505
"1993",21.201
"1994",30.359
"1995",30.741
"1996",27.671
"1997",30.37
"1998",26.651
"1999",23.685
"2000",29.062
"2001",28.706
"2002",27.718
"2003",28.503
"2004",28.766
"2005",22.443
"2006",29.051
"2007",24.279
"2008",30.183
"2009",29.503
"2010",27.73
"2011",27.19
"2012",31.256
"2013",28.573
"2014",27.366
"2015",30.894
"2016",23.397
"2017",29.596
"2018",30.654
"2019",30.466
"2020",28.199
"2021",30.063
"2022",28.235
"2023",26.717
"2024",29.909
"2025",26.774
"2026",30.807
"2027",27.018
"2028",30.73
"2029",29.546
"2030",30.096
"2031",28.744
"2032",26.884
"2033",26
"2034",31.928
"2035",29.929
"2036",28.261
"2037",29.464
"2038",27.298
"2039",25.148
"2040",29.992
"2041",26.954
"2042",29.583
"2043",25.756
"2044",26.613
"2045",24.406
"2046",25.716
"2047",28.138
"2048",25.616
"2049",25.3
"2050",27.384
"2051",30.379
"2052",28.489
"2053",27.908
"2054",28.972
"2055",27.055
"2056",24.804
"2057",31.048
"2058",28.474
"2059",28.715
"2060",31
"2061",29.028
"2062",27.684
"2063",27.168
"2064",23.864
"2065",26.837
"2066",25.272
"2067",23.348
"2068",27.345
"2069",29.005
"2070",28.165
"2071",30.788
"2072",26.163
"2073",27.767
"2074",27.813
"2075",27.532
"2076",31.5
"2077",30.66
"2078",33.685
"2079",29.659
"2080",29.093
"2081",29.311
"2082",29.808
"2083",26.478
"2084",32.467
"2085",26.454
"2086",23.053
"2087",29.531
"2088",29.428
"2089",30.903
"2090",24.925
"2091",26.582
"2092",21.66
"2093",25.767
"2094",29.996
"2095",28.338
"2096",26.178
"2097",28.377
"2098",30.77
"2099",34.128
"2100",25.216
"2101",23.633
"2102",25.811
"2103",28.693
"2104",26.539
"2105",24.891
"2106",29.918
"2107",24.511
"2108",29.444
"2109",28.696
"2110",30.54
"2111",29.937
"2112",31.017
"2113",24.687
"2114",30.064
"2115",30.371
"2116",30.86
"2117",27.513
"2118",29.117
"2119",26.119
"2120",30.247
"2121",30.675
"2122",27.249
"2123",26.407
"2124",26.245
"2125",28.423
"2126",31.813
"2127",25.694
"2128",25.094
"2129",27.602
"2130",29.074
"2131",30.176
"2132",29.499
"2133",30.836
"2134",28.645
"2135",28.622
"2136",32.37
"2137",28.678
"2138",30.472
"2139",28.407
"2140",27.721
"2141",28.252
"2142",21.432
"2143",25.233
"2144",30.775
"2145",29.553
"2146",27.162
"2147",24.334
"2148",25.082
"2149",26.776
"2150",28.029
"2151",33.177
"2152",28.236
"2153",24.555
"2154",25.372
"2155",26.448
"2156",26.574
"2157",27.164
"2158",28.081
"2159",26.771
"2160",27.896
"2161",32.913
"2162",28.014
"2163",24.731
"2164",30.114
"2165",25.506
"2166",25.239
"2167",25.228
"2168",26.014
"2169",29.102
"2170",31.065
"2171",23.618
"2172",23.618
"2173",28.158
"2174",27.312
"2175",28.815
"2176",28.383
"2177",27.94
"2178",23.628
"2179",28.48
"2180",25.93
"2181",25.912
"2182",27.063
"2183",25.317
"2184",25.486
"2185",27.771
"2186",29.447
"2187",30.831
"2188",27.41
"2189",29.996
"2190",29.302
"2191",29.564
"2192",27.754
"2193",26.09
"2194",28.445
"2195",26.131
"2196",28.579
"2197",27.359
"2198",29.33
"2199",27.726
"2200",29.39
"2201",29.307
"2202",30.116
"2203",23.839
"2204",25.863
"2205",26.621
"2206",29.241
"2207",28.419
"2208",28.363
"2209",25.043
"2210",23.459
"2211",27.02
"2212",23.637
"2213",27.128
"2214",27.631
"2215",30.599
"2216",29.381
"2217",31.199
"2218",29.405
"2219",28.269
"2220",30.997
"2221",29.41
"2222",30.541
"2223",29.857
"2224",26.677
"2225",30.5
"2226",27.971
"2227",28.458
"2228",26.894
"2229",23.564
"2230",28.812
"2231",24.201
"2232",28.912
"2233",30.683
"2234",23.868
"2235",26.63
"2236",26.082
"2237",30.569
"2238",31.823
"2239",27.305
"2240",29.844
"2241",26.229
"2242",26.182
"2243",30.741
"2244",27.224
"2245",28.699
"2246",26.914
"2247",31.168
"2248",27.816
"2249",26.381
"2250",27.818
"2251",21.844
"2252",28.8
"2253",24.563
"2254",25.077
"2255",25.429
"2256",29.537
"2257",30.992
"2258",27.981
"2259",32.126
"2260",27.023
"2261",25.69
"2262",25.234
"2263",29.997
"2264",25.252
"2265",25.916
"2266",26.319
"2267",26.762
"2268",23.694
"2269",29.349
"2270",25.985
"2271",30.522
"2272",27.999
"2273",31.997
"2274",29.85
"2275",28.494
"2276",30.051
"2277",27.208
"2278",29.655
"2279",32.917
"2280",28.681
"2281",28.043
"2282",30.102
"2283",26.21
"2284",26.594
"2285",28.166
"2286",27.069
"2287",28.081
"2288",31.217
"2289",28.201
"2290",27.234
"2291",27.051
"2292",28.523
"2293",27.801
"2294",26.2
"2295",33.45
"2296",28.365
"2297",26.754
"2298",29.72
"2299",30.648
"2300",29.069
"2301",28.544
"2302",28.869
"2303",26.017
"2304",27.785
"2305",31.101
"2306",27.937
"2307",29.956
"2308",30.101
"2309",28.037
"2310",30.782
"2311",27.775
"2312",27.89
"2313",27.596
"2314",31.053
"2315",25.781
"2316",27.421
"2317",29.529
"2318",29.287
"2319",25.894
"2320",28.015
"2321",32.131
"2322",28.103
"2323",31.242
"2324",29.039
"2325",26.646
"2326",25.107
"2327",27.991
"2328",27.049
"2329",27.097
"2330",25.52
"2331",30.088
"2332",26.548
"2333",23.398
"2334",30.771
"2335",24.804
"2336",27.002
"2337",25.202
"2338",28.077
"2339",27.838
"2340",28.315
"2341",29.445
"2342",27.466
"2343",30.664
"2344",31.146
"2345",27.495
"2346",30.828
"2347",28.678
"2348",30.349
"2349",26.046
"2350",22.857
"2351",29.689
"2352",30.749
"2353",29.68
"2354",25.562
"2355",29.548
"2356",28.961
"2357",26.657
"2358",32.635
"2359",26.936
"2360",28.936
"2361",28.597
"2362",29.001
"2363",28.093
"2364",25.985
"2365",28.556
"2366",25.295
"2367",25.16
"2368",26.114
"2369",22.014
"2370",29.014
"2371",27.512
"2372",29.274
"2373",28.184
"2374",25.712
"2375",26.122
"2376",24.842
"2377",29.442
"2378",30.078
"2379",26.232
"2380",29.683
"2381",27.698
"2382",31.229
"2383",26.972
"2384",28.18
"2385",26.8
"2386",27.305
"2387",28.255
"2388",25.61
"2389",25.094
"2390",24.992
"2391",25.02
"2392",23.867
"2393",28.011
"2394",30.107
"2395",29.102
"2396",25.128
"2397",27.002
"2398",22.427
"2399",29.617
"2400",27.684
"2401",24.906
"2402",26.635
"2403",27.122
"2404",27.244
"2405",29.977
"2406",30.521
"2407",29.28
"2408",29.285
"2409",29.981
"2410",28.49
"2411",30.191
"2412",25.139
"2413",31.737
"2414",27.782
"2415",29.199
"2416",28.069
"2417",29.17
"2418",31.022
"2419",28.223
"2420",25.279
"2421",28.084
"2422",26.525
"2423",27.972
"2424",27.675
"2425",22.404
"2426",28.801
"2427",28.583
"2428",28.574
"2429",25.455
"2430",28.116
"2431",28.987
"2432",33.434
"2433",24.136
"2434",29.038
"2435",23.037
"2436",20.34
"2437",27.984
"2438",29.759
"2439",32.265
"2440",31.507
"2441",29.111
"2442",25.482
"2443",27.12
"2444",26.76
"2445",26.994
"2446",30.223
"2447",26.423
"2448",26.333
"2449",23.758
"2450",29.585
"2451",30.316
"2452",28.04
"2453",25.654
"2454",28.667
"2455",28.811
"2456",27.246
"2457",29.304
"2458",27.983
"2459",30.328
"2460",23.854
"2461",29.814
"2462",25.927
"2463",28.939
"2464",29.106
"2465",28.762
"2466",25.37
"2467",28.252
"2468",25.749
"2469",31.25
"2470",27.549
"2471",27.365
"2472",25.293
"2473",26.152
"2474",28.935
"2475",29.771
"2476",27.88
"2477",27.874
"2478",25.57
"2479",30.863
"2480",30.524
"2481",28.053
"2482",26.386
"2483",27.314
"2484",23.63
"2485",32.148
"2486",30.163
"2487",28.332
"2488",29.473
"2489",33.812
"2490",21.79
"2491",30.516
"2492",25.796
"2493",31.007
"2494",26.884
"2495",31.713
"2496",25.178
"2497",30.667
"2498",26.957
"2499",24.952
"2500",27.645
"2501",26.786
"2502",29.496
"2503",30.539
"2504",30.719
"2505",28.698
"2506",29.506
"2507",23.248
"2508",25.389
"2509",28.529
"2510",28.34
"2511",27.379
"2512",22.093
"2513",32.066
"2514",28.909
"2515",27.865
"2516",28.522
"2517",28.862
"2518",25.844
"2519",27.244
"2520",25.15
"2521",28.664
"2522",24.079
"2523",28.313
"2524",27.637
"2525",26.358
"2526",27.612
"2527",28.532
"2528",29.929
"2529",25.654
"2530",29.139
"2531",25.589
"2532",26.789
"2533",21.968
"2534",18.015
"2535",27.727
"2536",22.358
"2537",28.792
"2538",30.193
"2539",24.165
"2540",24.906
"2541",26.889
"2542",30.635
"2543",28.294
"2544",29.763
"2545",27.243
"2546",26.125
"2547",24.966
"2548",28.375
"2549",27.717
"2550",26.982
"2551",27.589
"2552",27.819
"2553",28.613
"2554",26.417
"2555",28.457
"2556",29.877
"2557",30.848
"2558",29.006
"2559",31.533
"2560",29.734
"2561",26.342
"2562",25.723
"2563",27.59
"2564",28.307
"2565",28.196
"2566",25.65
"2567",28.585
"2568",29.29
"2569",27.042
"2570",27.74
"2571",27.53
"2572",25.155
"2573",27.721
"2574",30.135
"2575",27.524
"2576",29.973
"2577",23.496
"2578",29.475
"2579",30.661
"2580",28.806
"2581",28.754
"2582",30.62
"2583",28.895
"2584",25.756
"2585",26.586
"2586",30.269
"2587",30.237
"2588",30.802
"2589",25.2
"2590",28.974
"2591",27.501
"2592",25.864
"2593",30.108
"2594",27.212
"2595",27.868
"2596",28.847
"2597",29.53
"2598",29.006
"2599",26.726
"2600",30.611
"2601",25.652
"2602",27.416
"2603",25.099
"2604",30.584
"2605",28.134
"2606",29.007
"2607",27.737
"2608",29.442
"2609",30.647
"2610",25.666
"2611",27.577
"2612",32.024
"2613",27.182
"2614",30.651
"2615",29.777
"2616",31.038
"2617",27.266
"2618",24.167
"2619",28.401
"2620",26.914
"2621",28.737
"2622",28.176
"2623",30.259
"2624",29.623
"2625",32.13
"2626",28.224
"2627",29.992
"2628",25.592
"2629",28.197
"2630",29.926
"2631",28.08
"2632",30.459
"2633",29.475
"2634",31.007
"2635",27.192
"2636",28.94
"2637",33
"2638",28.99
"2639",31.651
"2640",27.588
"2641",24.254
"2642",25.524
"2643",28.104
"2644",34.067
"2645",25.011
"2646",26.001
"2647",29.396
"2648",30.285
"2649",25.63
"2650",31.074
"2651",26.57
"2652",27.389
"2653",25.523
"2654",26.573
"2655",25.91
"2656",25.603
"2657",23.897
"2658",28.619
"2659",30.558
"2660",27.241
"2661",27.89
"2662",32.866
"2663",27.643
"2664",28.234
"2665",30.089
"2666",25.2
"2667",28.62
"2668",27.864
"2669",32.237
"2670",29.738
"2671",29.234
"2672",24.37
"2673",27.501
"2674",24.921
"2675",29.782
"2676",27.425
"2677",34.345
"2678",28.996
"2679",28.802
"2680",27.433
"2681",29.619
"2682",25.894
"2683",25.89
"2684",30.957
"2685",27.815
"2686",28.08
"2687",25.604
"2688",28.243
"2689",25.683
"2690",23.458
"2691",28.356
"2692",29.318
"2693",26.661
"2694",32.125
"2695",28.815
"2696",26.488
"2697",30.818
"2698",27.491
"2699",28.623
"2700",30.297
"2701",31.787
"2702",28.602
"2703",30.806
"2704",28.411
"2705",30.044
"2706",28.956
"2707",31.804
"2708",28.112
"2709",25.162
"2710",30.897
"2711",27.238
"2712",29.107
"2713",30.403
"2714",28.763
"2715",29.583
"2716",24.948
"2717",30.884
"2718",25.677
"2719",26.422
"2720",23.071
"2721",27.162
"2722",29.165
"2723",28.04
"2724",27.151
"2725",32.577
"2726",25.657
"2727",29.807
"2728",29.658
"2729",28.165
"2730",31.166
"2731",26.418
"2732",26.441
"2733",31.719
"2734",30.098
"2735",30.809
"2736",30.079
"2737",27.846
"2738",28.111
"2739",26.518
"2740",29.224
"2741",24.782
"2742",28.725
"2743",30.165
"2744",29.917
"2745",24.516
"2746",30.84
"2747",28.437
"2748",28.924
"2749",27.983
"2750",28.408
"2751",26.169
"2752",24.276
"2753",32.129
"2754",26.611
"2755",27.455
"2756",27.726
"2757",31.068
"2758",26.834
"2759",24.927
"2760",29.105
"2761",27.36
"2762",29.279
"2763",29.775
"2764",28.593
"2765",27.512
"2766",26.809
"2767",28.842
"2768",25.759
"2769",28.318
"2770",27.833
"2771",28.331
"2772",25.287
"2773",28.474
"2774",29.261
"2775",38.129
"2776",29.905
"2777",27.496
"2778",26.39
"2779",27.613
"2780",26.897
"2781",29.939
"2782",32.05
"2783",32.014
"2784",28.673
"2785",28.617
"2786",27.559
"2787",33.296
"2788",31.502
"2789",27.276
"2790",31.513
"2791",27.713
"2792",30.288
"2793",29.889
"2794",28.247
"2795",25.366
"2796",28.475
"2797",27.645
"2798",28.368
"2799",26.225
"2800",26.317
"2801",25.495
"2802",29.716
"2803",29.242
"2804",22.472
"2805",26.979
"2806",32.59
"2807",30.187
"2808",30.599
"2809",27.974
"2810",26.077
"2811",28.206
"2812",27.002
"2813",34.127
"2814",26.517
"2815",26.393
"2816",26.82
"2817",20.581
"2818",28.856
"2819",24.317
"2820",26.452
"2821",31.146
"2822",26.75
"2823",27.651
"2824",27.603
"2825",26.968
"2826",26.899
"2827",30.72
"2828",27.648
"2829",26.519
"2830",29.812
"2831",29.055
"2832",29.085
"2833",25.251
"2834",27.657
"2835",26.55
"2836",27.093
"2837",24.016
"2838",26.478
"2839",29.963
"2840",24.166
"2841",28.656
"2842",31.2
"2843",25.009
"2844",30.856
"2845",31.824
"2846",27.774
"2847",28.274
"2848",30.359
"2849",29.725
"2850",30.51
"2851",26.036
"2852",29.868
"2853",27.355
"2854",25.654
"2855",29.223
"2856",27.992
"2857",32.2
"2858",28.133
"2859",30.424
"2860",27.709
"2861",28.815
"2862",26.487
"2863",31.735
"2864",26.001
"2865",24.931
"2866",29.117
"2867",30.22
"2868",29.286
"2869",26.409
"2870",29.696
"2871",29.502
"2872",30.434
"2873",28.929
"2874",29.072
"2875",27.921
"2876",28.037
"2877",28.751
"2878",28.91
"2879",30.227
"2880",24.578
"2881",27.54
"2882",26.495
"2883",27.723
"2884",31.877
"2885",30.317
"2886",26.807
"2887",29.661
"2888",27.947
"2889",26.832
"2890",30.446
"2891",24.165
"2892",27.44
"2893",29.344
"2894",23.301
"2895",28.054
"2896",27.568
"2897",30.001
"2898",25.548
"2899",28.092
"2900",25.887
"2901",25.022
"2902",22.184
"2903",29.9
"2904",30.415
"2905",29.984
"2906",27.321
"2907",27.262
"2908",26.406
"2909",25.769
"2910",28.616
"2911",24.892
"2912",26.207
"2913",28.051
"2914",25.574
"2915",27.92
"2916",29.734
"2917",25.513
"2918",27.826
"2919",25.797
"2920",30.75
"2921",25.256
"2922",25.959
"2923",26.433
"2924",30.323
"2925",28.645
"2926",28.887
"2927",29.134
"2928",25.895
"2929",27.203
"2930",32.569
"2931",27.781
"2932",29.206
"2933",29.215
"2934",28.037
"2935",30.443
"2936",32.352
"2937",30.668
"2938",28.549
"2939",27.483
"2940",27.05
"2941",29.948
"2942",25.784
"2943",28.977
"2944",27.161
"2945",28.353
"2946",25.381
"2947",25.236
"2948",29.384
"2949",27.507
"2950",32.322
"2951",29.964
"2952",27.498
"2953",30.009
"2954",28.739
"2955",27.022
"2956",30.5
"2957",27.178
"2958",29.013
"2959",25.679
"2960",29.546
"2961",24.291
"2962",25.65
"2963",26.463
"2964",26.299
"2965",29.856
"2966",29.605
"2967",23.527
"2968",26.563
"2969",29.622
"2970",26.362
"2971",28.947
"2972",32.572
"2973",32.119
"2974",27.502
"2975",28.198
"2976",27.51
"2977",32.677
"2978",27.121
"2979",26.699
"2980",28.497
"2981",31.097
"2982",30.984
"2983",28.327
"2984",27.294
"2985",28.672
"2986",28.325
"2987",29.067
"2988",26.667
"2989",26.595
"2990",26.641
"2991",26.021
"2992",27.94
"2993",27.608
"2994",27.375
"2995",27.65
"2996",31.473
"2997",31.052
"2998",26.433
"2999",25.173
"3000",27.425
"3001",28.818
"3002",25.947
"3003",30.776
"3004",27.108
"3005",29.653
"3006",30.356
"3007",30.999
"3008",22.982
"3009",31.83
"3010",27.124
"3011",30.247
"3012",24.282
"3013",27.749
"3014",26.213
"3015",26.514
"3016",30.364
"3017",26.594
"3018",23.453
"3019",29.288
"3020",26.793
"3021",27.149
"3022",27.406
"3023",29.379
"3024",27.523
"3025",25.017
"3026",30.745
"3027",32.329
"3028",26.452
"3029",27.345
"3030",28.531
"3031",30.36
"3032",23.969
"3033",29.541
"3034",30.307
"3035",26.842
"3036",26.655
"3037",30.024
"3038",29.118
"3039",25.577
"3040",24.971
"3041",27.324
"3042",29.298
"3043",29.62
"3044",28.777
"3045",31.08
"3046",29.042
"3047",28.047
"3048",27.395
"3049",26.049
"3050",27.101
"3051",25.897
"3052",22.745
"3053",28.486
"3054",28.935
"3055",29.897
"3056",25.888
"3057",29.43
"3058",27.048
"3059",25.548
"3060",27.838
"3061",29.931
"3062",28.552
"3063",30.383
"3064",27.252
"3065",29.532
"3066",25.569
"3067",27.316
"3068",27.187
"3069",23.703
"3070",30.879
"3071",28.574
"3072",25.177
"3073",29.422
"3074",24.653
"3075",26.994
"3076",32.47
"3077",30.613
"3078",23.062
"3079",32.397
"3080",30.905
"3081",28.306
"3082",25.806
"3083",32.071
"3084",27.456
"3085",29.761
"3086",31.204
"3087",23.894
"3088",29.131
"3089",27.376
"3090",25.044
"3091",28.233
"3092",30.142
"3093",30.91
"3094",23.05
"3095",27.814
"3096",28.373
"3097",30.887
"3098",28.125
"3099",28.051
"3100",28.938
"3101",29.007
"3102",28.174
"3103",25.05
"3104",23.676
"3105",24.459
"3106",23.388
"3107",30.74
"3108",25.592
"3109",23.749
"3110",28.513
"3111",27.935
"3112",29.804
"3113",26.114
"3114",28.114
"3115",31.997
"3116",25.254
"3117",29.395
"3118",27.049
"3119",28.252
"3120",28.241
"3121",28.132
"3122",30.71
"3123",26.655
"3124",29.251
"3125",26.286
"3126",28.579
"3127",27.203
"3128",27.847
"3129",25.611
"3130",28.947
"3131",29.491
"3132",31.137
"3133",29.468
"3134",25.074
"3135",28.948
"3136",29.716
"3137",25.755
"3138",29.536
"3139",30.867
"3140",25.665
"3141",27.135
"3142",25.05
"3143",25.84
"3144",28.627
"3145",26.563
"3146",32.292
"3147",29.54
"3148",29.558
"3149",29.579
"3150",31.773
"3151",27.463
"3152",23.008
"3153",30.984
"3154",27.556
"3155",27.489
"3156",28.173
"3157",27.775
"3158",24.655
"3159",23.473
"3160",23.563
"3161",26.225
"3162",28.692
"3163",29.167
"3164",27.137
"3165",28.307
"3166",25.379
"3167",25.399
"3168",27.432
"3169",26.2
"3170",28.345
"3171",28.651
"3172",30.218
"3173",26.595
"3174",31.583
"3175",28.901
"3176",30.543
"3177",29.57
"3178",27.412
"3179",27.491
"3180",23.866
"3181",31.835
"3182",29.925
"3183",22.644
"3184",27.16
"3185",25.241
"3186",24.914
"3187",27.593
"3188",26.837
"3189",28.29
"3190",29.137
"3191",28.868
"3192",26.798
"3193",27.529
"3194",26.258
"3195",22.772
"3196",29.886
"3197",31.531
"3198",29.636
"3199",25.731
"3200",29.692
"3201",26.332
"3202",26.536
"3203",30.753
"3204",26.137
"3205",28.885
"3206",28.71
"3207",28.139
"3208",31.816
"3209",24.64
"3210",28.466
"3211",33.421
"3212",28.506
"3213",26.145
"3214",27.853
"3215",25.398
"3216",28.548
"3217",26.49
"3218",28.56
"3219",28.551
"3220",28.292
"3221",26.973
"3222",28.949
"3223",27.854
"3224",26.415
"3225",26.269
"3226",25.921
"3227",28.644
"3228",24.129
"3229",24.902
"3230",25.271
"3231",28.876
"3232",28.903
"3233",31.268
"3234",30.57
"3235",27.322
"3236",24.138
"3237",29.085
"3238",29.811
"3239",23.913
"3240",30.749
"3241",28.358
"3242",22.808
"3243",29.24
"3244",28.854
"3245",29.72
"3246",25.721
"3247",29.135
"3248",27.065
"3249",24.595
"3250",22.484
"3251",26.029
"3252",27.148
"3253",28.521
"3254",32.233
"3255",29.248
"3256",29.272
"3257",29.642
"3258",27.388
"3259",22.974
"3260",30.278
"3261",28.441
"3262",31.571
"3263",26.445
"3264",24.59
"3265",27.308
"3266",27.994
"3267",27.096
"3268",23.942
"3269",28.262
"3270",27.445
"3271",28.053
"3272",25.655
"3273",30.435
"3274",24.25
"3275",29.003
"3276",25.458
"3277",25.124
"3278",28.41
"3279",30.914
"3280",29.01
"3281",24.468
"3282",29.699
"3283",26.123
"3284",29.951
"3285",29.645
"3286",28.76
"3287",28.034
"3288",25.301
"3289",25.739
"3290",27.195
"3291",24.967
"3292",25.097
"3293",25.242
"3294",29.214
"3295",29.602
"3296",25.814
"3297",29.199
"3298",27.184
"3299",28.289
"3300",25.476
"3301",29.159
"3302",29.163
"3303",33.276
"3304",29.343
"3305",30.599
"3306",29.169
"3307",28.119
"3308",29.977
"3309",28.218
"3310",24.142
"3311",28.494
"3312",26.541
"3313",29.925
"3314",32.896
"3315",26.125
"3316",29.621
"3317",29.704
"3318",29.278
"3319",26.761
"3320",25.588
"3321",25.416
"3322",27.184
"3323",29.874
"3324",30.321
"3325",27.876
"3326",32.937
"3327",31.058
"3328",23.739
"3329",31.519
"3330",26.351
"3331",29.412
"3332",27.397
"3333",24.044
"3334",29.252
"3335",25.631
"3336",27.786
"3337",27.542
"3338",25.823
"3339",32.112
"3340",28.685
"3341",24.833
"3342",30.106
"3343",26.311
"3344",30.504
"3345",28.606
"3346",27.861
"3347",30.228
"3348",30.814
"3349",31.531
"3350",24.955
"3351",27.606
"3352",26.734
"3353",26.041
"3354",28.831
"3355",25.372
"3356",28.599
"3357",29.868
"3358",29.847
"3359",28.363
"3360",25.412
"3361",28.971
"3362",29.878
"3363",27.815
"3364",30.389
"3365",29.308
"3366",24.575
"3367",26.258
"3368",28.232
"3369",29.192
"3370",19.735
"3371",28.385
"3372",31.188
"3373",31.297
"3374",27.201
"3375",29.105
"3376",28.159
"3377",29.542
"3378",27.403
"3379",29.281
"3380",28.764
"3381",27.036
"3382",29.092
"3383",28.4
"3384",23.71
"3385",24.28
"3386",26.635
"3387",27.437
"3388",29.315
"3389",25.724
"3390",28.975
"3391",30.794
"3392",24.476
"3393",27.86
"3394",27.375
"3395",29.181
"3396",26.643
"3397",28.618
"3398",23.694
"3399",32.026
"3400",29.341
"3401",19.806
"3402",32.472
"3403",30.597
"3404",22.601
"3405",24.717
"3406",30.077
"3407",30.781
"3408",27.485
"3409",26.151
"3410",26.309
"3411",29.934
"3412",29.375
"3413",28.308
"3414",24.853
"3415",25.917
"3416",27.663
"3417",28.451
"3418",24.079
"3419",28.516
"3420",26.924
"3421",22.824
"3422",24.638
"3423",29.903
"3424",28.926
"3425",26.279
"3426",27.311
"3427",27.17
"3428",29.064
"3429",22.947
"3430",27.807
"3431",25.696
"3432",31.38
"3433",25.63
"3434",30.561
"3435",30.254
"3436",29.862
"3437",26.741
"3438",27.344
"3439",25.807
"3440",25.945
"3441",29.564
"3442",22.246
"3443",24.312
"3444",26.514
"3445",29.093
"3446",26.423
"3447",27.7
"3448",28.347
"3449",24.163
"3450",28.664
"3451",23.509
"3452",27.721
"3453",27.812
"3454",26.521
"3455",28.914
"3456",22.862
"3457",28.917
"3458",26.477
"3459",28.373
"3460",22.214
"3461",29.745
"3462",30.703
"3463",26.216
"3464",26.819
"3465",28.653
"3466",29.679
"3467",25.752
"3468",26.804
"3469",24.436
"3470",28.867
"3471",29.46
"3472",27.1
"3473",25.984
"3474",24.982
"3475",22.65
"3476",27.439
"3477",24.895
"3478",22.241
"3479",25.774
"3480",29.857
"3481",28.157
"3482",28.813
"3483",26.177
"3484",26.179
"3485",31.216
"3486",27.841
"3487",28.675
"3488",27.396
"3489",31.494
"3490",30.069
"3491",29.257
"3492",25.968
"3493",28.876
"3494",30.068
"3495",27.501
"3496",27.605
"3497",22.782
"3498",28.313
"3499",25.534
"3500",31.287
"3501",26.806
"3502",27.55
"3503",27.38
"3504",25.619
"3505",31.597
"3506",24.519
"3507",24.064
"3508",24.755
"3509",29.915
"3510",27.601
"3511",27.855
"3512",28.353
"3513",31.25
"3514",25.82
"3515",25.673
"3516",28.931
"3517",31.523
"3518",24.516
"3519",30.406
"3520",30.275
"3521",21.927
"3522",28.027
"3523",30.845
"3524",28.505
"3525",27.889
"3526",28.371
"3527",30.096
"3528",28.191
"3529",30.597
"3530",29.753
"3531",29.206
"3532",27.616
"3533",25.147
"3534",28.427
"3535",33.316
"3536",29.109
"3537",29.359
"3538",27.034
"3539",31.001
"3540",26.548
"3541",27.493
"3542",27.317
"3543",27.966
"3544",28.435
"3545",26.766
"3546",27.067
"3547",25.361
"3548",29.458
"3549",28.778
"3550",28.799
"3551",29.916
"3552",27.619
"3553",29.726
"3554",29.285
"3555",28.042
"3556",27.959
"3557",29.191
"3558",30.596
"3559",33.214
"3560",26.311
"3561",28.821
"3562",31.099
"3563",27.511
"3564",30.625
"3565",29.663
"3566",26.321
"3567",27.605
"3568",21.906
"3569",28.47
"3570",29.848
"3571",30.228
"3572",27.302
"3573",29.111
"3574",28
"3575",26.739
"3576",28.685
"3577",27.347
"3578",27.954
"3579",27.419
"3580",24.676
"3581",25.107
"3582",25.791
"3583",28.021
"3584",31.667
"3585",30.655
"3586",27.46
"3587",27.616
"3588",27.532
"3589",24.706
"3590",30.502
"3591",28.246
"3592",28.031
"3593",22.906
"3594",28.827
"3595",32.323
"3596",26.731
"3597",27.22
"3598",29.675
"3599",29.855
"3600",28.009
"3601",29.693
"3602",29.889
"3603",28.544
"3604",21.814
"3605",27.021
"3606",26.219
"3607",32.118
"3608",28.866
"3609",28.007
"3610",29.859
"3611",25.593
"3612",31.384
"3613",25.65
"3614",29.551
"3615",27.47
"3616",25.604
"3617",30.192
"3618",22.958
"3619",24.256
"3620",29.6
"3621",29.599
"3622",27.949
